Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38),C3H5(32),C4H6(30)
5.0136063456941506e-05,0.1282442781688593,0.0,0.0,0.0,0.0,0.74858450387571351,0.00059312130242158219,0.00015688397511480091,0.0066553767139765569,6.6083930025225408e-05,0.12140688024428252,0.12106747608947314,1.5557990733800633e-07,1.3261110821873906e-06,0.001463832242058125,5.7038699415959675e-09,2.2941830905726062e-11,1.9954422973196285e-09,4.3522136910559434e-06
5.044454531853929e-05,0.128353731660103,0.0,0.0,0.0,0.0,0.74708925307270946,0.00059194479131212548,0.00015736066801460183,0.0066976770309090244,6.6142851887692324e-05,0.12211569171403189,0.12179331510003082,1.561778542954082e-07,1.3388135115455593e-06,0.0014826658179325478,5.7945097530641897e-09,2.3306397994101979e-11,2.0171068725237721e-09,4.4461268830239303e-06
5.075302718013707e-05,0.12846316698083587,0.0,0.0,0.0,0.0,0.74559691819143115,0.00059077170720895646,0.00015783540396934715,0.006739940059171291,6.6201030956631368e-05,0.1228228930422712,0.1225177777175273,1.5677105183467677e-07,1.3515532872202743e-06,0.0015016051583877463,5.885946360159242e-09,2.3674169915566619e-11,2.0388250295908327e-09,4.5414162919178103e-06
5.106150904173485e-05,0.12857258275937253,0.0,0.0,0.0,0.0,0.74410750980249551,0.00058960204690962316,0.00015830817792205737,0.0067821654494808481,6.6258471941842473e-05,0.12352847965334839,0.12324085871519372,1.5735952127298409e-07,1.3643300304439663e-06,0.0015206498387328993,5.9781795320803447e-09,2.4045145741805113e-11,2.060595775029374e-09,4.6380916031892863e-06
5.136999090333263e-05,0.12868197764433018,0.0,0.0,0.0,0.0,0.7426210382115227,0.00058843580714796977,0.00015877898533640073,0.0068243528579000302,6.6315179307425019e-05,0.12423244710462053,0.12396255299410404,1.5794328388984209e-07,1.3771433789139756e-06,0.001539799432895694,6.0712087569165135e-09,2.4419323413837422e-11,2.0824181203242666e-09,4.7361624563005144e-06
5.167847276493041e-05,0.12879135028848399,0.0,0.0,0.0,0.0,0.74113751344378065,0.00058727298437040356,0.00015924782154623876,0.0068665019459939183,6.6371157800983332e-05,0.12493479109487149,0.12468285559051578,1.5852236120668806e-07,1.3899929521821821e-06,0.0015590535132359519,6.1650337106591173e-09,2.4796701628448845e-11,2.1042910843374967e-09,4.8356384496499986e-06
5.198695462652819e-05,0.12890069936665097,0.0,0.0,0.0,0.0,0.73965694526746484,0.00058611357499650102,0.00015971468248930705,0.0069086123805521546,6.6426411849377848e-05,0.12563550745168134,0.12540176166474568,1.5909677468618389e-07,1.4028783914236884e-06,0.0015784116508764184,6.2596537788654079e-09,2.5177277914258344e-11,2.1262136909236166e-09,4.9365291335584571e-06
5.229543648812597e-05,0.1290100235555316,0.0,0.0,0.0,0.0,0.73817934317306877,0.00058495757512830164,0.00016017956386040012,0.006950683833805215,6.6480946251320464e-05,0.12633459214272386,0.12611926651102645,1.5966654598992567e-07,1.4157993133851213e-06,0.0015978734154449533,6.355068572678078e-09,2.5561050707222792e-11,2.1481849725334465e-09,5.0388440168673181e-06
5.260391834972375e-05,0.12911932155645958,0.0,0.0,0.0,0.0,0.73670471640310498,0.00058380498089258444,0.00016064246208557655,0.0069927159830748186,6.6534765373182025e-05,0.12703204125962203,0.12683536554330874,1.6023169667795226e-07,1.4287553639816093e-06,0.0016174383754901612,6.4512773014946674e-09,2.5948016827422127e-11,2.1702039656704088e-09,5.1425925578771718e-06
5.291240021132153e-05,0.1292285920693044,0.0,0.0,0.0,0.0,0.73523307392357518,0.0005826557880496653,0.00016110337317953033,0.0070347085110775845,6.658787408714162e-05,0.12772785103356185,0.12755005430888797,1.607922485978651e-07,1.4417461557768393e-06,0.0016371060981160582,6.5482795412796559e-09,2.6338174569317411e-11,2.1922697158595924e-09,5.2477841735113454e-06
