Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38),C3H5(32),C4H6(30),C4H7(42)
2.5859054827123893e-06,0.11247470125722653,0.0,0.0,0.0,0.0,0.99585646337691869,0.00068961498302271104,4.1337424051671484e-05,0.00011774251607788918,2.717388464147817e-05,0.001659272633735957,0.0016080894065332025,2.46872725522971e-09,5.6567495705677403e-09,2.9764060924687421e-07,2.8099202979743142e-13,1.1301911719024756e-15,4.7114954368052915e-13,7.9322400484534091e-12,2.4666553106544128e-13
2.626624940647129e-06,0.11248197759874078,0.0,0.0,0.0,0.0,0.9957254220183247,0.00069403784918185211,4.2034682065896626e-05,0.00012139472459377783,2.7626527984288054e-05,0.0017210005561688055,0.0016681563383759322,2.5770763196367781e-09,5.9423622255512626e-09,3.1877395854257574e-07,3.0626803719667336e-13,1.231855016722146e-15,5.0785261872830973e-13,8.8223660252882626e-12,2.6996594020242444e-13
2.667344398581869e-06,0.1124893578140557,0.0,0.0,0.0,0.0,0.99559253485124843,0.00069830969627693133,4.2722463759770375e-05,0.00012509126905117579,2.8072542757821141e-05,0.0017837229912219662,0.0017291962977999333,2.6875253271693939e-09,6.2354935088412036e-09,3.409538971689953e-07,3.3320236808537788e-13,1.3401888868200074e-15,5.4654618632045059e-13,9.7919807165332939e-12,2.9490413360496977e-13
2.708063856516609e-06,0.11249684039073415,0.0,0.0,0.0,0.0,0.99545782988364873,0.00070243425236937392,4.3400666652964336e-05,0.00012883132361867443,2.8511862736950577e-05,0.0018474243313111771,0.0017911941246339584,2.8000316416928079e-09,6.5360782017074876e-09,3.6420679983959582e-07,3.6185805612244452e-13,1.455446313135908e-15,5.8728369408603385e-13,1.0846252979543124e-11,3.2155132604860292e-13
2.748783314451349e-06,0.11250442380158412,0.0,0.0,0.0,0.0,0.99532133537849599,0.00070641522312134362,4.4069205959964152e-05,0.00013261406052236666,2.8944433766866998e-05,0.0019120888371892708,0.0018541345302336833,2.9145519276576559e-09,6.8440456815966264e-09,3.8855874854389848e-07,3.9229808928394001e-13,1.5778806429072412e-15,6.3011771050177008e-13,1.1990545183228708e-11,3.4997934670415289e-13
2.7895027723860887e-06,0.11251210650731487,0.0,0.0,0.0,0.0,0.99518307980553111,0.00071025628693120214,4.4728013729234e-05,0.00013643865121237963,2.9370213170785126e-05,0.0019777006650281695,0.0019180021238087838,3.0310422688452549e-09,7.1593202987388078e-09,4.1403551351994154e-07,4.245853234460992e-13,1.7077446920265677e-15,6.7509987723315809e-13,1.3230412899248122e-11,3.8026055483843255e-13
2.8302222303208285e-06,0.11251988695906479,0.0,0.0,0.0,0.0,0.9950430917953702,0.00071396109043318377,4.5377037993108547e-05,0.00014030426747788942,2.97891691652096e-05,0.0020442438921491318,0.0019827814374285152,3.1494583122309294e-09,7.4818217485491093e-09,4.4066253566520347e-07,4.5878239963910041e-13,1.84529041222822e-15,7.2228086602207903e-13,1.4571604326325055e-11,4.1246775732458973e-13
2.8709416882555684e-06,0.1125277636008029,0.0,0.0,0.0,0.0,0.99490140009591455,0.00071753324435074343,4.6016241930824279e-05,0.00014421008250958123,3.020128028440561e-05,0.0021117025414190888,0.0020484569497244069,3.2697553721263831e-09,7.8114654383629153e-09,4.6846491036498954e-07,4.9495166443506664e-13,1.9907685709452519e-15,7.7171033298696492e-13,1.6020059458912322e-11,4.4667412831767559e-13
2.9116611461903083e-06,0.11253573487160533,0.0,0.0,0.0,0.0,0.99475803353104197,0.00072097631969224654,4.6645603046826794e-05,0.00014815527190887432,3.0606534815530991e-05,0.0021800606043345665,0.0021150131083122257,3.3918885223234465e-09,8.1481628472025407e-09,4.9746737271228135e-07,5.3315509411389456e-13,2.1444284462192574e-15,8.2343688510216647e-13,1.758190901150423e-11,4.8295313128026072e-13
2.952380604125048e-06,0.11254379920780902,0.0,0.0,0.0,0.0,0.99461302096153448,0.00072429384427703163,4.7265112366229516e-05,0.00015213901464354462,3.1004930245705468e-05,0.0022493020628179747,0.002182434350958465,3.5158127250071193e-09,8.4918218775381441e-09,5.2769428408851808e-07,5.7345422318116177e-13,2.306517539176338e-15,8.7750805326387037e-13,1.9263473110479692e-11,5.2137844353117706e-13
