Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(2),C2H5(3),C(6),H(4),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C4H7(28),C4H7(38)
0.00015082954977757522,0.15930494214729235,0.0,0.0,0.0,0.0,0.41126629170970469,0.00034804863709981008,0.00022513446073453713,0.017902844114357455,6.5413195249821606e-05,0.27286501700641191,0.28621493298704903,2.051932765308558e-07,6.0081135853506273e-06,0.011106002829816638,1.013450889535748e-07,4.0762534514081081e-10
0.0001527199052279657,0.15977595250475077,0.0,0.0,0.0,0.0,0.40724315098567099,0.00034527494606103855,0.00022530567156429237,0.0180673692726574,6.5250989710419115e-05,0.2745164664633909,0.28821132521184845,2.0479004083877412e-07,6.0878968508691752e-06,0.011319460043939333,1.0331272594672695e-07,4.1553948013110332e-10
0.00015461026067835616,0.1602429988506975,0.0,0.0,0.0,0.0,0.40328014529796846,0.00034254389934515168,0.00022545497954089974,0.018230466691430199,6.5087708831429474e-05,0.27613769840262459,0.29017887322219299,2.0437009204269336e-07,6.1670907275110816e-06,0.011533252638742504,1.052750718897552e-07,4.2343233371450256e-10
0.00015650061612874664,0.16070611367222823,0.0,0.0,0.0,0.0,0.39937613707584013,0.00033985457741115508,0.00022558309561407269,0.018392153697262055,6.4923450897657253e-05,0.27772931931423167,0.29211811897222439,2.0393430689006704e-07,6.2456919177629916e-06,0.011747352527306848,1.0723168521546082e-07,4.3130212984059338e-10
0.0001583909715791371,0.16116532983105405,0.0,0.0,0.0,0.0,0.39553001104205893,0.0003372060845293952,0.00022569070953981345,0.018552447451329789,6.4758308877782827e-05,0.27929192317386348,0.29402959386214494,2.0348352411309938e-07,6.3236976367635244e-06,0.011961732565202578,1.0918214521113805e-07,4.3914717633889306e-10
0.00016028132702952758,0.16162068051235776,0.0,0.0,0.0,0.0,0.39174067399826185,0.00033459754830082034,0.00022577849052120074,0.018711364943414001,6.4592370569549771e-05,0.2808260915962395,0.29591381883500839,2.0301854654206063e-07,6.4011056588540874e-06,0.012176366520466608,1.1112604697599355e-07,4.469658446368916e-10
0.00016217168247991805,0.16207219915966814,0.0,0.0,0.0,0.0,0.38800705456129436,0.00033202811897059976,0.00022584708722451081,0.018868922987489368,6.4425719636533504e-05,0.28233239401117566,0.29777130449712241,2.0254014257301922e-07,6.4779140298191658e-06,0.012391229045150703,1.1306300692393694e-07,4.5475659189300392e-10
0.00016406203793030853,0.16251991946379643,0.0,0.0,0.0,0.0,0.38432810293900027,0.00032949696863519314,0.00022589712856368278,0.019025138216014689,6.4258435444334569e-05,0.28381138782075616,0.29960255122014895,2.0204904725947374e-07,6.5541211506556741e-06,0.012606295646058828,1.1499266192324592e-07,4.6251795753621115e-10
0.000165952393380699,0.1629638752790257,0.0,0.0,0.0,0.0,0.38070279066237966,0.00032700329085694197,0.00022592922468327178,0.019180027075810503,6.4090592629502321e-05,0.28526361857533933,0.30140804926451831,2.0154596392377807e-07,6.6297259966679677e-06,0.012821542656912089,1.1691466117514025e-07,4.7024853060053723e-10
0.00016784274883108947,0.16340410060650706,0.0,0.0,0.0,0.0,0.3771301102593087,0.00032454630006275729,0.00022594396665605209,0.019333605825822494,6.392226256084404e-05,0.28668962017669491,0.30318827893050859,2.0103156580656963e-07,6.7047276789765343e-06,0.013036947212518624,1.1882867535859379e-07,4.779469865066978e-10
0.0001695440687364409,0.16379714202371923,0.0,0.0,0.0,0.0,0.37395888213795447,0.00032236574269394277,0.00022594287071161731,0.019470719841910941,6.3770404645331871e-05,0.28795102773288517,0.3047692702272915,2.0055946622371693e-07,6.7717130865842047e-06,0.01323092774030598,1.2054420117039657e-07,4.8484709201956829e-10
0.00017124538864179232,0.16418721430184186,0.0,0.0,0.0,0.0,0.37082878100289657,0.00032021373708055633,0.0002259285879297803,0.019606797268366418,6.3618253324362978e-05,0.28919198607499169,0.30633051164910274,2.000791737114196e-07,6.838209406414657e-06,0.013425002393222241,1.2225278627597402e-07,4.9171928095766673e-10
0.00017294670854714375,0.164574342385416,0.0,0.0,0.0,0.0,0.36773911478842569,0.00031808975162913667,0.00022590151298432275,0.019741849558409942,6.3465852716705084e-05,0.29041286098989705,0.30787233321985508,1.9959112106661675e-07,6.9042168121078734e-06,0.013619156065364398,1.2395422179893607e-07,4.9856271318848467e-10
0.00017464802845249517,0.16495855123305228,0.0,0.0,0.0,0.0,0.36468920440442604,0.00031599326680715339,0.00022586202890974535,0.019875888036989402,6.3313245784177307e-05,0.29161401111641216,0.30939505880142182,1.9909572414174652e-07,6.9697353556259904e-06,0.0138133741144811,1.2564831214818826e-07,5.053766020147659e-10
0.0001763493483578466,0.16533986580548585,0.0,0.0,0.0,0.0,0.36167838352428838,0.00031392377478002537,0.00022581050853302061,0.020008923900336477,6.3160472601107064e-05,0.29279578807165568,0.31089900619414629,1.9859338229520921e-07,7.0347655144437911e-06,0.014007642347733735,1.2733486843734428e-07,5.121601877068459e-10
0.00017805066826319802,0.16571831104670193,0.0,0.0,0.0,0.0,0.35870599840676598,0.00031188077952610908,0.00022574731420073541,0.020140968214939308,6.3007571434909023e-05,0.29395853656038451,0.31238448721922402,1.9808447933635899e-07,7.0993079100096816e-06,0.014201947008511706,1.2901371066050745e-07,5.1891274625361429e-10
